1,1,T2,60
2,1,T1,42
3,3,T2,60
4,1,T3,102
5,1,T0,35
6,3,T0,34
7,3,T1,41
8,2,T2,59
9,2,T3,122
10,2,T2,95
11,3,T2,79
12,3,T1,49
13,2,T0,47
14,1,T1,49
15,2,T3,122
16,4,T0,38
17,1,T2,83
18,2,T2,95
19,2,T1,68
20,2,T2,95
21,3,T0,41
22,1,T1,49
23,1,T1,49
24,4,T1,57
25,4,T2,72
26,4,T1,57
27,3,T1,56
28,3,T0,36
29,2,T3,122
30,1,T2,83
31,3,T1,56
32,2,T1,68
33,2,T2,95
34,4,T3,91
35,1,T2,83
36,4,T2,70
37,4,T2,72
38,1,T1,49
39,3,T0,36
40,3,T1,63
41,3,T2,79
42,2,T3,122
43,3,T2,79
44,1,T2,83
45,1,T1,49
46,2,T1,68
47,3,T0,41
48,2,T1,68
49,2,T3,122
50,4,T2,69
100,1,T3,100
